"","title_kr","title_en","content","time","director","country","year"
"2151","개 같은 인생","The Misfortunates","소위 출세를 하려면 반드시 착한 환경이 뒷받침되어야 하는 것은 아니다. 동명의 반 자전적 베스트셀러를 각색한 이 영화의 열세 살 소년이 그 증거다. 개망나니들이나 다름없는 아버지, 세 삼촌들과 할머니 집에 얹혀사는 ‘개 같은 어린 시절’을 보냈건만, 훗날 영화의 토대가 될 원작 소설을 쓰는 인기 작가가 되지 않는가. 
시종 시끌벅적 하면서도 퍽 유쾌한, 벨기에발 성장 영화. 그 겉과 속이 ...","96min","
				펠릭스 반 그뢰닝엔","Belgium","2009"
"2152","개를 키워봐서 알아요","Shhhhh,","초등학교 선생님인 다은은 남자친구에게 갑자기 이별을 선언한다. 동생 유은은 남자친구에게 이별을 통보 받은 후 방황을 한다. 다은은 이상하게도 자신의 반 학생 아영의 행동에 끌려 그녀를 따라가기 시작한다. 자신도 알 수 없는 묘한 감정의 소용돌이를 풀어가지 못하는 사이에 아이의 천연덕스러운 한마디가 허를 찌른다. (홍효숙)","26min","
				이우정","Korea","2009"
"2153","거북이 달린다","Running Turtle","조필성은 시골마을의 형사이다. 그는 자신보다 나이 많은 아내로부터 인정받지 못하는 가장이기도 하다. 조필성은 아내의 구박에도 불구하고 돈을 몰래 빼돌려 소싸움 대회에 내기를 건다. 다행히 내기에 승리를 거두지만 갑작스럽게 등장한 사내에게 돈을 빼앗기고 만다. 그는 유명한 탈주범 송기태이다. 동료들은 송기태를 만났다는 필성의 말을 믿지 않고, 그는 돈을 되찾기 위한 추격전을 벌이기 시작한다. ...","117min","
				이연우","Korea","2009"
"2154","검은 머리","Black Hair","동일의 정부 연실은 ‘검은머리’라는 닉네임을 갖고 있다. 그녀는 동일의 부하 만호에게 약점을 잡혀 괴로움을 당하고 있다. 보스 동일은 이러한 사실을 알게 되고, 연실의 얼굴에 심한 상처를 낸 후 쫓아버린다. 강렬한 조명과 선이 굵은 연기자들을 보는 것만으로도 흥미로운 장르영화의 걸작이다. 유실된 장면을 수정 및 디지털 복원하여 상영된다.","115min","
				이만희","Korea","2009"
"2155","게어선","Kanikosen","1920년대에서 30년대에 걸쳐 일본에선, 개인주의적인 문학을 부정하고, 사회주의와  공산주의 사상과 결부된 문학이었던 프롤레타리아 문학이 대두되었던 시절이 있었다. 이 프롤레타리아 문학을 대표하는 걸작이 고바야시 다키지 원작의“게이선”이다. 벌써 80년이나 지난 이 소설이 작년에는 유행어 대상을 받을 정도로 사회적 현상을 불러 일으키며 160만부의 베스트셀러로 떠올랐다. 이는 열악한 노동환...","109min","
				사부","Japan","2009"
"2156","겡: 모험의 시작","Geng: Pengembaraan Bermula","말레이시아 최초의 3D 애니메이션. 자신들의 이름을 딴 미니 시리즈로 세계적인 유명세를 타게 된 쌍둥이 형제 우핀과 이핀이 출연한다. 이 영화는 가족 모두가 함께 즐길 수 있는 유쾌한 모험이 될 것이다.","95min","
				모흐니잠 압둘라작","Malaysia","2009"
"2157","경","Viewfinder","집을 나간 동생을 찾는 언니, 직장을 나온 뒤 떠도는 애니메이터, 그리고 기자와 고속도로 휴게소에서 일하는 사람들.김정 감독은 무언가를 찾는 사람들이 구현하는 다양한 프레임을 보여준다. 그것은 사진 속에, 인터넷 속에, 메시지 속에 그리고 무엇보다 영화 자체에 들어 있는 정보이자 삶의 움직임이다.
영상원 교수이기도 한 김정 감독은 새로운 가명을 통해 또 하나의 프레임을 만들어 낸다. 이전에...","95min","
				김정","Korea","2009"
"2158","경계도시2","The Border City 2","2003년. 체포영장이 발부된 상황에서도 37년만의 귀국을 감행한 재독철학자 송두율 교수는 입국 1주일 만에 존경 받는 해외민주인사에서 해방 이후 최대의 거물 간첩으로 추락하게 된다. 이어지는 구속과 재판 그리고 석방. 누구도 예측하지 못했던 광풍 속에서 한국사회는 보수와 진보 사이에서 일대 격전이 벌어진다. 5년이라는 긴 시간 동안 감독은 조용하고 차분하게 이 사건을 되짚어보면서, 우리 사...","104min","
				홍형숙","Korea","2009"
"2159","계몽영화","Enlightenment Film","한국문화 안에서 ‘삼대’라는 말은 꽤 의미심장하게 다뤄져 왔다. 그것은 역사의 변화를 의미하는 것인 동시에 여전히 변하지 않는 한국 사회(문화)의 기원을 새긴다. 박동훈 감독은 일제 시대부터 현재에 이르는 삼대를 프레임 안에 담아 보인다. 일제 시절 친일파였으며, 신군부 시대에 독재적인 아버지였으며, 삼대에 해당하는 딸 태선은 이 모든 것을 부정하고 싶은 인물로 그려진다. 그녀의 시선은 과거...","121min","
				박동훈","Korea","2009"
"2160","고통","Persecution","다니엘은 신축 중인 건물에서 잡부로 일하며 먹고 잔다. 자유롭고 반항적인 성격 탓에 가끔씩 침입하는 정체모를 정신병자 외에 그를 찾는 이도 별로 없다. 애인인 소니아와의 순탄치 못한 관계에 괴로워하면서도 서로의 가슴 속 깊이 묻혀있는 진심을 찾아 파고들어간다. 
사랑과 관계, 자유에 대한 철저한 문제의식을 오랜만에 느낄 수 있는 영화. 첫 장면부터 사회적 구속과 관습을 통째로 날려버리는 인...","90min","
				파트리스 셰로","France","2009"
"2161","공기인형","Air Doll","중년의 히데오가 매일 아침 애인과 아침을 보내고 출근하고 밤이면 돌아와 사랑을 나눈다. 그러나 그의 애인 노조미는 사람이 아니라 공기 인형이다. 어느 날 그가 출근한 후 노조미에게 생명이 불어넣어지고 그녀는 세상으로 나간다. 비디오가게 점원으로 취직한 노조미는 동료인 주니치에게 사랑을 느낀다. 영화는 생명을 얻은 공기인형이 바라보는 세상을 따라간다. 
대부분의 섹스 인형을 소재한 영화가 다...","116min","
				코레에다 히로카즈","Japan","2009"
"2162","공백","Blank","펠리시아는 휠체어 신세를 지고 있는 치매환자 안나를 돌보는 도우미다. 변덕스럽고 다루기 힘든 안나를 묵묵히 참으며, 가끔 방문하는 간호사 미셸과 만나는 것 외에는 외부세계와 거의 단절된 채 지낸다. 안나와의 관계가 점차 변화하면서, 그녀는 낯선 시간 속으로 빠져든다. 
외부와 차단된 채 남을 돌봐야 하는 답답한 상황과 그 속에서 두 인간이 맺어가는 관계를 정적으로 보여주는 독특한 분위기의 ...","71min","
				시릴 드 가스페리","France","2009"
"2163","교활한 재단사와 젊은이","The Cunning Tailor and the Young Man","젊은 이방인 하나가 마을에 온다. 교활한 재단사가 그 마을에 산다는 것을 우연히 알게 된 그는 재단사의 악행을 온 천하에 알리기로 결심한다. 라신 케이리에의 첫 애니메이션 영화.","9min","
				라신 케이리에","Iran","2009"
"2164","국경","Border","구출된 버팔로의 시점에서 진행되는 [국경]은 아르메니아와 아제르바이잔 간 분쟁 이후의 한 작은 국경 마을의 모습을 보여준다. 부상당한 버팔로는 보호를 위해 어느 농장으로 이송된다. 농장의 다른 동물들이 버팔로를 받아들이는 태도는 소비에트연방 해체 이후 만연한 국가간의 모습과 흡사하다.","82min","
				하루튠 하차트리안","Armenia/Netherlands","2009"
"2165","굿 하트","The Good Heart","싸구려 바를 운영하는 자크는 심장발작 증상을 가지고 있다. 또 한번의 심장발작 이후, 그는 병원에서 희망 없는 노숙자 루카스를 만나게 된다. 자크는 그가 삶에 대한 의욕을 가지기를 원하며 자신의 마지막 힘을 다해 그를 보살핀다. 그러던 중 비행공포증이 있는 승무원 에이프릴이 술에 취해 자크의 바에 들어오고, 그때부터 두 사람의 우정은 시험에 들게 된다. 다구르 카리 감독은 다시 한번 괴팍스럽...","90min","
				다구르 카리","Iceland","2009"
"2166","굿모닝 프레지던트","Good Morning President","[굿모닝 프레지던트]는 세 명의 대통령이 펼치는 정치와 삶의 축소판이다. 임기 말년의 나이 지긋한 대통령 김정호, 외교적 수완과 결단을 발휘하는 젊은 대통령 차지욱 그리고 여성 대통령 한경자. 이들은 각각 정치적 결단과 윤리적 선택 사이에서 갈등을 겪는 과정을 보여준다. 복권에 당첨된 김정호의 갈등, 신장 기증을 하게 된 차지욱의 번민, 이혼의 위기를 겪게 된 한경자의 사연은 장진 특유의 유...","131min","
				장진","Korea","2009"
"2167","귀향","The Absence","프랑스에서 과학자로 성공한 아다마는 할머니가 위독하다는 편지를 받고 15년 만에 고향에 돌아온다. 할머니와 여동생 아이샤가 그를 반기지만 왠지 미묘한 긴장감이 감돈다. 밤거리에서 매춘을 하는 아이샤를 발견한 후 포주를 찾아 나서면서 다카르의 미로 같은 세계로 빠져든다. 
[귀향]은 방황에 관한 이야기다. 주인공은 선진국에서의 촉망받는 미래와 가난한 고국으로 대변되는 과거 사이에서, 또 여동...","81min","
				마마 케이타","France/Senegal","2009"
"2168","그녀, 중국 여자","She, a Chinese","“중국 본토의 영화 감독으로서, 세계의 영화들이 자기 고유 문화에만 집중하는 습관을 버리고, 더 넓고 과감한 지점으로 나가기를 바랍니다.“ (구오샤오루)
젊은 중국 여자 메이는, 자신의 인생이 따분하고 답답한 시골마을에 갇혀버렸다고 생각한다. 불현듯 짐을 싸고 충칭으로 향하는 메이. 조금은 덜 평범한 인생을 찾기 위한 그녀의 긴 여로가 시작된 것이다. 그녀가 찾아간 충칭은 21세기 세계를 ...","98min","
				구오 샤오루","UK/FRANCE/GERMANY","2009"
"2169","기다리게 하는 도시","The Waiting City","호주의 한 젊은 커플이 입양할 딸을 만나러 인도로 간다. 캘커타에서 입양절차가 끝나기를 기다리는 동안 끔찍하게 관료적이고 복잡한 과정을 밟게 된 피오나와 벤은 그들 스스로에게서는 물론 서로에게 숨겨져 있던 참기 힘든 진실을 발견하게 된다. 피오나가 집에서 원격으로 업무를 보는 동안 벤은 도시에서 새로운 경험을 얻기 위한 모험 비슷한 것을 시작한다. 벤은 그가 처한 새로운 환경을 쉽게 받아들이...","101min","
				클레어 맥카시","Australia","2009"
"2170","기적","Miracle","1956년, 러시아의 작은 마을에서 여인 한 명이 작은 성상 하나를 들고 춤을 추다가, 얼어붙은 듯 멈춘 후 128일 동안이나 움직이지 못하는 일이 발생한다. ‘조야의 황홀’로 알려진 실화다. 여러 편의 에피소드를 통해, 감독은 기적에 대한 진위여부는 유보한 채, 평범한 러시아 사람들이 어떻게 이 사건에 압도되어 가는지를 보여준다. 기자, 신부, 공장 노동자, 그리고 니키타 크루셰프는 각자의...","112min","
				알렉산드르 프로슈킨","Russia","2009"
"2171","기적은 사랑과 함께","The Miracle Worker","시각 및 청각 장애에도 불구하고 장애인으로서 세계 최초로 대학교육을 마치고 훌륭한 사회운동가로 변신한 헬렌 켈러와 그녀의 헌신적인 선생님 설리반의 실제 이야기를 다룬 작품. 감동적이면서 실험적인 연출이 돋보였던 아서 펜의 1962년 작품으로 설리반과 헬렌 켈러를 연기했던 앤 밴크로프트와 패티 듀크는 각각 아카데미 여우주연상, 여우조연상을 수상했다.","106min","
				아서 펜","USA","2009"
"2172","김씨표류기","Castaway on the Moon","여기에는 두 개의 섬이 있다. 자살을 시도한 남자 김씨는 밤섬에서 표류를 하게 된다. 이유를 알 수는 없지만 여자 김씨는 방을 나서지 않는 인물이다. 어느 날 그녀는 밤섬에서 표류를 하고 있는 남자 김씨를 발견한다. 여자 김씨는 와인병에 안부를 적어 자신의 존재를 알리고, 남자 김씨는 모래사장에 ‘HELP’라고 썼던 글자를 ‘HELLO’로 바꾼다.
두 사람은 자신의 공간에서 조금씩 나아가면...","116min","
				이해준","Korea","2009"
"2173","김정일리아","Kimjongilia","김정일 국방위원장의 생일을 기념하여 만들어진 꽃의 이름에서 따온 영화제목 [김정일리아]는 북한의 교도소, 기근, 그리고 억압에서 살아남은 ? 현재 탈북하여 대한민국에서 살고 있는 ? 생존자들의 이야기를 들려준다. 기록자료와 정치적 선전, 그리고 북한의 일상 재연 등을 혼합하여 어떻게 전체주의가 만들어지고 유지되는가를 보여준다.","75min","
				N.C. 하이킨","USA/South Korea/France","2009"
"2174","깨어진 약속","Broken Promise","“가장 잘 만들어진 드라마는 실제 삶의 이야기이다. 우리가 만드는 어떤 이야기도 진짜 인생만큼 사실적이지 못할 것이다. 삶은 매우 조심스럽고 진실된 방식으로 다루어지고 전달되어야 한다.” - 이에르지 흐룸스케 
마틴 프리드만-페트라섹의 자서전을 바탕으로 한 [깨어진 약속]은 축구를 좋아하는 한 어린 슬로바키아 소년의 눈을 통해 홀로코스트라는 역사상 가장 중요한 사건 중 하나를 다루고 있다....","124min","
				이에르지 흐룸스케","Slovak Republic/Czech Republic/USA","2009"
"2175","꼭껴안고 눈물핑","Drifting Away","대학로에서 연극을 하는 남편은 함께 무대에 서는 여배우와 바람을 피우고, 아내는 남편 모르게 가사를 꾸리느라 힘겹다. 김동원 감독의 두 번째 장편영화는 아주 통속적인 우리 시대의 모습을 보여주고 있다. 남편과 단비 사이에 일어날 수 밖에 없는 이별과 집으로 돌아온 남편이 아내와 대화를 나누는 장면들은 현실과 텔레비전 드라마 그리고 이런저런 가십들의 총집합이라고 할 수 있을 것이다.
한편으로...","95min","
				김동원","Korea","2009"
"2176","끝과 시작","In My End is My Beginning","사고로 남편을 잃은 정하에게 남편의 불륜 상대였던 나루가 찾아온다. 그녀는 집에 머물게 해 준다면 시키는 대로 다하겠다면서 매달린다. 정하는 이를 받아들이지 않지만, 결국 두 사람의 기묘한 동거가 시작된다. 
[끝과 시작]의 일부는 국내에서 개봉된 [오감도]를 통해 소개가 되었다. 하지만 짧았던 이야기와는 달리 장편 [끝과 시작]은 파국으로 치닫는 관계의 ‘끝’을 제대로 보여준다. 엄정화와...","87min","
				민규동","Korea","2009"
"2177","나는 곤경에 처했다!","I'm in Trouble!","감독의 자전적인 체험이 녹아있는 이 작품은 통속적인 우리 시대의 연애담을 보여준다. 삼류 시인인 주인공은 연인과 만났다 헤어지기를 반복하면서, 선배와 선배가 좋아하는 출판사의 편집자와 얽히게 된다. 주변부 지식인이 주인공으로 등장하고, 느끼한 사랑의 말들이 오가다보니 홍상수 감독의 어떤 부분을 떠올릴 수도 있을 것이다. 
그런데, 소상민 감독은 훨씬 더 경쾌하고 직접적이다. 주인공인 삼류 ...","98min","
				소상민","Korea","2009"
"2178","나는 너의 친구가 아니다","I Am Not Your Friend","[택시더미아]나 [허클] 등 기요르기 팔피의 전작들은 전형적인 로맨스와 거리가 먼 영화들이었다. [나는 너의 친구가 아니다]에서 그는 영화제작의 전형적 틀을 벗어나 가장 순수한 상상력의 발로로서의 영화를 선보인다. 팔피는 대본 작가와 촬영기사, 그리고 아홉 명의 아마추어 배우들에게 즉흥 연기를 맡겼고, 그 결과물로 혼란스러운 부다페스트의 현실에 대한 사실적이고 자기반영적인 영화가 탄생했다. ...","100min","
				기요르기 폴피","Hungary","2009"
"2179","나는 비와 함께 간다","I Come with the Rain","사이코패스 연쇄살인범을 검거한 LA 경찰 클라인(조쉬 하트넷)은 사건의 여파로 정신과 치료를 받다가 결국 경찰을 그만두고 사립탐정 생활을 시작한다. 어느 날, 중국인재벌의 아들 시타오(기무라 타쿠야)를 찾아달라는 의뢰를 받고 그가 마지막으로 목격된 필리핀으로 떠난다. 행방을 추적하던 클라인은 시타오가 사람을 치유하는 신비한 능력을 갖고 있다는 것과, 홍콩 마피아 보스인 수동포(이병헌) 역시 ...","110min","
				트란 안 헝","France/US","2009"
"2180","나의 사춘기","The French Kissers","에르베는 엄마와 단둘이 살고 있는 이민자 가정의 중학생이다. 성적 호기심의 수위가 절정에 달하는 시기인 만큼, 여자와 진한 프렌치 키스 한번 해보는 게 소원이다. 별볼일없는 그에게 어찌 된 영문인지 같은 반의 최고 미녀 오로르가 접근하지만, 쭈뼛쭈뼛 어색하고 서투르기만 하다. 
소심한 사춘기 소년이 이성에 눈떠가는 과정을 그린 일종의 성장영화로, 그야말로 배꼽 잡고 웃게 만드는 유쾌하고 기...","90min","
				리아드 사투프","France","2009"
"2181","낙원은 서쪽이다","Eden is West","엘리아스는 고국 그리스를 떠나 밀입국을 위해 파리로 향하는 배를 탔지만, 중간에 경찰을 피해 무작정 바다에 몸을 던지게 된다. 리조트에 우연히 숨어들어가 부유한 서구인들의 시중을 들다가 우여곡절 끝에 불안한 ‘에덴’, 파리에 입성한다.  
서구문명의 탄생지인 에게해로 시작되어 에펠탑이 찬란히 빛나는 파리로 마감하는 좌충우돌 여행기. 그리스 출신으로 프랑스에서 활동하는 코스타 가브라스 자신을...","111min","
				코스타 가브라스","France/Italy/Greece","2009"
"2182","난 니꺼","I Am Yours","주디스 톰슨의 연극을 원작으로 한 [난 니꺼]는 표면적으로는 가정사를 다룬 멜로드라마지만, 그 속에는 타는 듯한 배반과 질투, 집념이 숨겨져 있다. 마르타는 잭과의 결혼이 제대로 흘러가지 않자, 전과 경력이 있는 잡역부 아더의 유혹에 넘어간다. 마르타가 임신한 사실이 밝혀진 후 일은 이해되지 않는 이상한 방식으로 진행되는데... 잭은 그녀를 되찾기 위해 고군분투하고 아더과 그의 엄마 아이린은...","105min","
				마리우스 기제고르젝","Poland","2009"
"2183","난 몰라요","Where Are You?","삐쩍 마른 더벅머리 십대소년 료 카와이는 지금 절벽 끝에 서있는 심정이다. 전기, 수도, 가스 모두 끊긴 집에 홀로 사는 그는 방금 편의점에서 해고됐다. 수업료가 없어 학교도 다니지 못하고, 축구 선수의 꿈은 말 그대로 꿈일 뿐이다. 혼수 상태였던 어머니는 두 달치의 병원비를 남기고 세상을 떠났고 장례비용도 마련할 길이 없다. 병원에서 ‘어머니 시신 훔쳐 내기’라는 희한한 사건을 꾸민 것도 ...","104min","
				고바야시 마사히로","Japan","2009"
"2184","난징! 난징!","City of Life and Death","이 영화의 배경은 1937년 일본의 난징 침략이지만 감독은 전쟁에서 상실되는 것이 무엇인지에 주목하고 있다. 광기로 말미암아 전쟁에서는 군인과 민간인의 구분도 없고 승자와 패자의 구분도 없음을 지적한다. 영화초반의 치열하고 격렬한 전투장면이 지나고 나면 이야기는 전쟁 속에서 생존을 위해 발버둥치는 인간군상의 모습을 세밀히 다룬다. 처음 병사들을 향했던 총구가 민간인을 향해 무차별적으로 불을 ...","135min","
				루 추안","China","2009"
"2185","낮잠","Midday Nap","수진은 이른 새벽에 걸려온 전화로 수심이 가득하다. 유난히 맑은 하루가 흐르고, 미국에서 귀국하는 아들을 위해 김부각을 만들며 즐거워하는 엄마에게 수진은 뭔가 할 말이 있는 듯 하다. 차마 전할 수 없는 비극적인 소식을 안고 하루를 보내는 수진의 심리상태를 따라 전개되는 이야기가 가슴 먹먹한 긴장감을 선사한다. (홍효숙)","24min","
				유성엽","Korea","2009"
"2186","내 방","My Room","7살 소피는 편모와 형제들의 숨막히는 눈초리에서 벗어나기 위해 판타지의 세계로 도피한다. 두 번의 실패 끝에, 소피는 어느 날 밤, 옷장 안으로 숨게 되고, 가장 정교한 판타지의 세계를 만나게 된다.","14min","
				김한성","USA","2009"
"2187","내 아이들의 아버지","Father of My Children","미아 한센로브는 [내 아이들의 아버지]에서 한 남성이 그의 가족에 미치는 절망적이고, 파괴적인 행동의 결과들을 탐색한다. 표면적으로 그레고리는 사랑하는 가족을 둔 성공한 영화 제작자이다. 그러나 그럴싸해 보이는 겉모습과 달리, 그는 실패에 대한 두려움에 사로잡혀있고, 그 두려움은 그레고리로 하여금 결국 극단적인 방법을 선택하게 만든다. 그레고리의 아내, 딸들, 그리고 숨겨져 있던 아들이 그의...","110min","
				미아 한센-로브","France/Germany","2009"
"2188","냉면","Cold Noodles","비상계단 위에서 라면을 먹던 O에게 잇따르는 불운한 일을 그린 블랙코미디. 갑자기 불어 닥친 바람에 창문이 닫혀 곤경에 처한 그는 옆길로 기어나가 보지만 모든 문들은 잠겨 있을 뿐. 그때 갑자기 하늘에서 시체가 떨어진다.","7min","
				커스텐 탄","USA/Singapore","2009"
"2189","너와 나의 21세기","Our Fantastic 21st Century","대형마트에서 아르바이트를 하는 여주인공은 마트의 물건을 속여 팔기도 한다. 그녀의 목표는 취직을 하는 것이고, 이를 위해 성형수술비용을 모은다. 그런데, 동거를 하던 남자친구가 그녀의 돈을 갖고 사라져 버리는 일이 일어난다. 배신감에 사로잡힌 그녀 앞에 사채업을 하는 청년이 등장한다. 하지만 그 남자 역시 궁한 상태이다.
류형기 감독은 한국 사회에서 ‘88만원 세대’라 불리는 20대 중후반...","83min","
				류형기","Korea","2009"
"2190","눈물","Tears","누군가 10년 동안 눈물을 흘린 적이 없다면 그의 삶은 어떠한 모습일까? 정년을 앞둔 형사 쿠오는 아내와 이혼하고 가족과 떨어져 허름한 호텔에서 혼자 자신만의 어두운 과거를 안고 살아간다. 평상시 자신의 신분을 숨기고 노점을 운영하는 소녀를 돌보고, 병원에서 자원봉사를 하며 그녀의 어머니를 몰래 보살핀다. 우연히 경찰 신분과 소녀의 어머니를 돌보고 있는 사실을 소녀에게 들키고 만다. 자신이 ...","111min","
				청원탕","Taiwan","2009"
"2191","눈물의 왕자","Prince of Tears","1950년대 대만. 공산주의자에 대한 광기어린 마녀사냥이 횡행하던 시절, 대만에서는 어느 누구도 평범한 삶을 보장받지 못했다. 1950년부터 54년까지 그 섬에서는 3천명이 공산당 스파이 혐의로 처형당했고 8천명이 투옥되었다. 프룻 첸이 제작하고 욘판이 감독한 는 삼엄한 시대를 배경으로 예기치 않게 역사의 무대에 올라 비극적 역할을 맡아야 했던 네 사람의 삶을 추적하는 대서사극...","122min","
				욘판","Taiwan/Hong Kong","2009"
"2192","뉴스메이커스","Newsmakers","조니 토 감독의 [대사건]의 리메이크. 격렬한 총격전 끝에 경찰을 제압하고 유유히 빠져나가는 갱단의 아드레날린 가득한 액션이 화면을 작렬한다. 복수를 원하는 경찰, 이들의 체포과정을 다큐 형식으로 보여주는 TV 리얼리티 쇼를 만들기로 결정한다. 젊고 패기 넘치는 모스크바 경찰 홍보과 팀장 캐티아. 경찰 부대의 신뢰회복과 복수를 이루어야 하는 이 복잡한 상황에 대한 그녀의 독특한 해법은, 이 ...","107min","
				안데르스 반케","Russia/Sweden","2009"
"2193","뉴욕","New York","뉴욕택시기사 오마르는 영문도 모른 채 테러 혐의로 체포된다. 미국 안보국이 그를 그의 대학동창이며 비밀테러조직의 우두머리인 샘에게 접근시키기 위해서다. 오마르는 과거 샘과 마야와 함께 나누었던 우정과 사랑을 떠올리며 샘이 테러범이 아니라는 것을 증명하기 위해 안보국의 제안을 받아들인다. 9.11 사태 이후, 아랍과 인도인에게 뉴욕은 더 이상 꿈의 도시가 아니다. 피부색과 종교로 인해 탄압받았...","154min","
				카비르 칸","India/USA","2009"
"2194","니딩 유","Needing You","짜임새 있는 이야기와 유덕화의 매력이 빛나는 로맨스 영화. 컴퓨터 회사의 유능한 매니저 화소와 엉뚱하면서도 착하기만 한 신입사원 킨키의 공통점은 모두 사랑에 운이 없다는 점이다. 회사일로 곤경에 처한 킨키를 화소가 도와주면서 둘은 급격히 친해지고 화소는 킨키에게 남자친구를 되찾는 법을 전수하기에 이르는데… 로맨스 영화에 있어서 조니 토만큼 흔한 이야기를 새롭게 둔갑시키는 감독은 드물다. 이야...","104min","
				위가휘,조니 토","Hong Kong, China","2009"
"2195","님프","Nymph","유령 이야기를 담고 있지만, 미스터리에 가까운 영화. 이 작품에서 숲은 각별한 의미를 지닌 공간이다. 어느 옛날, 한 여성이 숲 속에서 두 명의 남자로부터 공격을 당하고, 두 남자는 죽임을 당한다. 누가 그랬는지는 모른다. 그리고, 숲은 영원히 침묵을 지킨다. 바로 그 숲으로 사진촬영을 하러 온 사진작가 높(Nop)이 이 곳에서 실종당한다. 함께 왔던 아내 메이(May)는 절망 속에 집으로 ...","94min","
				페넥 라타나루앙","Thailand","2009"
"2196","다 잘 될거야","This Too Shall Pass","70세인 리총악씨는 암 환자다. 병원에서 간병인 봉사를 하고 있는 딸 엘렌은 장남이 유산문제로 분란을 일으키는 것을 막기위해 아버지의 소망과 마지막 나날들을 비디오 테이프에 담는다. 그의 투병이 길어 질수록 가족의 유대는 시험에 들게 된다.","61min","
				앙 아익 헹","Singapore","2009"
"2197","다만 악에서 구하옵소서","Deliver Us from Evil","겉으로 스릴러의 문법을 따르는 [다만 악에서 구하옵소서]는 덴마크의 작은 마을에 만연한 외국인 혐오증과 계급주의를 파헤친다. 마을의 불한당 라스는 술 취한 채 운전을 하다 안나를 차로 친다. 당황한 순간도 잠시, 시신을 얼른 숨긴 후 보스니아 난민 알랭에게 모든 죄를 뒤집어 씌운다. ‘이방인’을 범인으로 몰면 의심할 마을 사람이 없다는 사실을 너무나 잘 아는 라스. 마을의 증오와 두려움은 보...","100min","
				올레 보르네달","Denmark","2009"
"2198","다요","The Wanderer in the Land of Elementalia","11살 소년 부부이는 사랑하는 할아버지와 할머니를 구하기 위해 엘리멘탈리아로 떠난다. 엘리멘탈리아는 필리핀 신화에 등장하는 신비의 나라이다. 소심하던 부부이는 모험을 겪으면서 당당하고 강한 어른이 된다.","90min","
				로버트 킬라오","Philippines","2009"
"2199","닿을 수 없는 곳","Somewhere Unreached","그는 어린 동생과 아픈 엄마를 모시고 힘들지만 밝게 살아가고 있다. 그런데 입영통지서가 날아오고, 그는 가족의 부양을 위해 면제방법을 찾게 된다. 그러나 오래 전 가족을 버린 아버지가 걸림돌처럼 버티고 있다. 그는 아버지를 찾아 나선다. 험한 세상보다 더한 무게로 짓눌러오는 가족의 존재 앞에 그는 어떤 선택이 가능할까? 답이 없는 가족의 의미를 묻는 흥미로운 단편이다. (홍효숙)","29min","
				김재원","Korea","2009"
"2200","대사건","Breaking News","다섯 명의 은행강도가 대낮에 은행을 털고 경찰 한 대대를 제압한 후 유유히 탈주한 사건이 언론에 보도되면서 경찰에 대한 신뢰가 바닥에 떨어진다. 이에 경찰 역시 범인의 검거를 앞세우며 언론 플레이를 펼치기 시작한다. 미디어 전쟁으로 확산된 범죄 조직과 경찰의 다툼 사이에서 묵묵히 임무를 수행하는 경찰들의 모습이 겹쳐진다. [대사건]은 조니 토의 주무대인 밤과 뒷골목이 보이지 않는다. 숨을 곳...","90min","
				조니 토","Hong Kong","2009"
"2201","대척료","Running on Karma","강력계 신참 형사인 리는 나이트 클럽을 단속하다 ‘거인’이라 불리는 스트립 댄서를 만나게 된다. 어떤 이유에선지 리가 위험에 처할 때마다 거인이 나타나 그녀를 구해주고 사건해결을 도와준다. 전생을 보는 능력을 지닌 거인은 과연 리가 짊어진 업보의 끈을 끊을 수 있을 것인가! 거대한 바디 수트를 입고 근육질의 몸을 과시하는 유덕화의 색다른 모습과 장백지의 청순한 매력이 돋보이는 액션 로맨스이다...","93min","
				위가휘,조니 토","Hong Kong, China","2009"
"2202","대추리에 살다","Memories of Daechuri","2006년 5월, 미군 기지 확장을 위해 국방부의 강제철거가 시행된 대추리에 남아서 철거를 반대하던 대추리 주민들과 함께 마을을 지키고자 외지에서 ‘지킴이’들이 이주해 들어왔다. 각기 다른 삶을 살던 사람들은 같은 공간에서 생활하면서 사라져가는 대추리에 새로운 공동체를 만들고자 노력한다. 하지만 마을 주민들이 이주를 결정하면서 또 다른 이별을 경험하게 된다. 새로운 삶의 터전을 향해 떠나는 ...","85min","
				정일건","Korea","2009"
"2203","더 도어","The Door","자신의 부주의로 딸이 수영장에서 익사하는 사고를 당한 데이빗은 항상 죄책감에 쌓여있다. 부인에게 이혼까지 당하고 삶을 포기할 지경까지 이르게 된 어느 날 우연히 과거로 통하는 문을 발견하게 된 데이빗, 잊고만 싶었던 과거를 바꿀 수 있는 기회를 갖게 되는데...","99min","
				안노 사울","Germany","2009"
